1.1319,3.7059,1.1319,4.25,19.0,4.5949,4.3956,2.5294,165.0,1.2381,3.4615,0.0,7.5,20.5294,4.5949,1.0897,76.0,3.0586,2.969,10.8905,3.0586,0.0769,0.1,1.0,0.9333,0.0769,0.1,0.0137,0.0332,0.0132,0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7946,3.6667,0.7946,2.25,12.1481,4.489,4.3166,1.1111,185.8148,2.25,3.75,0.6,9.0,13.8148,4.489,0.8292,61.9436,2.7347,2.6148,7.8033,2.7347,0.1333,0.0952,1.0,0.6667,0.1333,0.0952,0.0169,0.0299,0.0142,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9494,3.0714,0.9494,4.6667,18.7857,4.4008,4.2607,2.4286,159.7857,1.3529,5.8571,0.0,9.1111,20.1429,4.4008,1.8856,67.7329,2.5702,2.4507,11.789,2.5702,0.3636,0.2258,1.0,1.0,0.3636,0.2258,0.0393,0.0446,0.0222,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7946,4.75,0.7946,2.8571,18.2,4.3563,4.1724,2.6,229.45,1.55,5.7778,0.0,8.6667,19.6,4.3563,2.6954,79.332,2.971,2.8935,15.762,2.971,0.2308,0.2045,1.0,0.9773,0.2308,0.2045,0.0239,0.0307,0.0199,0.0361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9667,3.3571,0.9667,3.1111,14.75,4.5223,4.3614,1.6786,268.25,1.76,4.9375,0.0,8.7778,16.3929,4.5223,1.2862,76.6432,2.4949,2.3773,7.3453,2.4949,0.2632,0.2432,1.0,0.8919,0.3158,0.2703,0.0386,0.061,0.032,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.223,5.9231,1.223,2.1667,18.4231,4.434,4.2511,2.1154,254.8846,1.5,7.2,0.0,8.0,21.1538,4.434,0.986,92.1154,2.7201,2.5089,11.6345,2.7201,0.2143,0.1905,1.0,1.0,0.2143,0.1905,0.0391,0.0768,0.0355,0.0687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.1,3.3333,1.1,2.5,10.4667,4.5705,4.3654,1.0667,103.6667,0.7368,3.0625,1.1818,7.2,12.0667,4.5705,1.6073,39.1627,2.4472,2.3345,4.9594,2.4472,0.0,0.0526,1.0,0.8947,0.0,0.0526,0.0,0.0,0.0119,0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.2529,4.2941,1.2529,4.25,19.1176,4.6803,4.5705,2.1765,197.9412,1.4091,6.2857,0.0,8.0,21.2941,4.6803,2.9475,76.4706,2.9834,2.9276,13.6673,2.9834,0.1538,0.2444,1.0,1.0,0.1538,0.2444,0.0087,0.023,0.0212,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.9479,3.2105,0.9479,4.75,17.8947,4.6596,4.5602,2.2632,223.6316,1.6538,5.0,0.8,6.9091,19.9474,4.6596,3.562,75.9209,2.7771,2.6807,11.0333,2.7771,0.1333,0.1639,1.0,0.9672,0.1333,0.1639,0.0263,0.0452,0.0234,0.0379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.2065,6.4615,1.2065,2.6,23.5385,4.4518,4.289,2.4615,188.5385,2.25,6.5714,0.0,7.6667,26.0769,4.4518,1.3565,81.5396,2.8217,2.6513,11.5855,2.8217,0.25,0.3333,1.0,1.0,0.25,0.3333,0.0139,0.018,0.0252,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
