0.8198,2.8333,0.8198,2.5714,20.3889,4.567,4.2963,3.3333,210.8333,1.0,2.6,0.0,8.6667,21.4444,4.567,1.6782,84.0655,2.993,2.8471,14.622,2.993,0.0909,0.2083,1.0,0.8333,0.0909,0.2083,0.0226,0.043,0.0255,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0325,2.8519,1.0325,2.7,17.0741,4.7212,4.4845,2.1852,247.6296,1.1875,4.9,0.5,7.8333,18.7037,4.7212,2.1,87.061,2.7228,2.5017,11.453,2.7228,0.1765,0.1778,1.0,0.9556,0.1765,0.1778,0.0154,0.0244,0.0163,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0149,3.4545,1.0149,5.5,18.8182,4.3689,4.2573,2.3636,123.0,1.0,3.7,0.0,9.25,20.4545,4.3689,1.5,59.5083,2.3483,2.3017,8.0155,2.3483,0.2222,0.1111,1.0,1.0,0.2222,0.1111,0.0157,0.023,0.0162,0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0588,4.9524,1.0588,1.9091,16.381,4.2757,4.0733,1.8095,201.0,1.8235,6.6364,0.0,8.1111,18.4286,4.2757,1.3111,73.2578,2.5539,2.5058,11.5287,2.5539,0.2,0.1579,1.0,0.8947,0.2,0.1579,0.0143,0.0314,0.0172,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9899,3.5714,0.9899,2.8,24.1429,4.8567,4.5552,3.7857,196.0,1.3182,4.375,0.0,8.75,26.8571,4.8567,0.7483,87.0483,2.9871,2.8214,11.7586,2.9871,0.2222,0.2143,1.0,1.0,0.2222,0.2143,0.03,0.0313,0.0268,0.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.1446,5.2857,1.1446,2.3333,21.1429,4.6392,4.4742,2.6429,187.7857,1.75,4.5,0.0,9.0,23.5,4.6392,0.7454,76.2317,2.7887,2.6259,10.894,2.7887,0.25,0.3636,1.0,1.0,0.25,0.3636,0.015,0.0261,0.0241,0.0343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.9412,3.3673,0.9412,3.5,14.3469,4.3727,4.2086,1.9184,416.7551,1.1569,3.5806,0.2105,8.9167,16.8163,4.3727,2.383,99.3985,2.6396,2.5158,7.5638,2.6396,0.1714,0.1287,1.0,0.9802,0.2,0.1485,0.0263,0.0424,0.0212,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.1694,4.6957,1.1694,5.75,18.8261,4.7213,4.5504,1.8261,249.8696,2.0588,5.05,1.5,7.4167,21.3478,4.7213,3.1125,88.3022,2.8605,2.7815,10.5526,2.8605,0.2105,0.2297,1.0,1.0,0.2105,0.2297,0.0288,0.0356,0.0217,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8136,3.9333,0.8136,7.5,12.4667,4.4222,4.25,1.4,123.0667,1.8571,5.5,0.0,7.3333,14.6,4.4222,0.5,46.646,2.8557,2.6476,10.0053,2.8557,0.2308,0.3265,1.0,0.9796,0.2308,0.3265,0.044,0.0652,0.0479,0.0595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0563,3.5263,1.0563,19.0,13.1579,4.5546,4.4286,1.4211,163.4211,1.0476,2.8,0.0,7.0,14.5789,4.5546,0.0,55.8242,2.8231,2.5995,9.97,2.8231,0.0556,0.0936,1.0,0.6842,0.0556,0.0936,0.014,0.0336,0.0101,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
